"","Asian-Americans","Hispanics","Blacks","Illegal Immigrants","Whites","Dem. Pres. Candidate","GOP Pres. Candidate","Libertarian Pres. Candidate","Green Pres. Candidate","Dem. VP","GOP VP","John Roberts","Pope Francis","Christian Fundamentalists","Feminists","Liberals","Labor Unions","Poor People","Big Business","Conservatives","SCOTUS","Gays & Lesbians","Congress","Rich People","Muslims","Christians","Jews","Tea Party","Police","Transgender People","Scientists","BLM"
"3607",50,50,50,0,50,0,100,15,15,0,85,50,50,50,50,30,40,60,50,50,30,50,50,30,50,70,70,70,100,50,50,15
"3610",86,86,85,51,85,16,85,51,50,50,48,50,69,60,50,49,50,51,70,50,84,16,71,50,49,99,99,40,85,30,30,60
"3613",50,50,50,50,50,0,70,50,50,0,100,50,50,100,0,0,0,85,85,100,50,0,50,70,50,100,100,0,100,0,100,50
"3616",50,70,85,70,85,71,51,33,50,85,70,60,71,50,50,50,100,70,50,50,50,50,40,50,70,60,70,40,50,50,50,50
"3617",75,75,75,0,75,0,85,51,49,1,99,84,16,50,50,30,40,84,30,85,62,70,32,83,1,98,99,71,100,50,86,1
"3618",72,61,85,3,72,17,87,62,1,26,88,95,86,5,61,25,3,72,85,80,77,82,61,57,72,81,87,62,94,41,86,2
"3624",100,100,100,50,100,70,0,70,60,60,30,60,40,50,85,90,90,80,60,0,30,100,80,20,70,70,60,0,80,80,100,90
"3626",95,71,79,10,80,32,71,40,49,26,88,58,96,65,74,31,4,66,34,92,52,86,10,63,44,90,92,70,89,64,94,2
"3627",99,100,99,50,50,100,0,60,50,50,50,85,99,50,90,55,50,85,55,50,85,100,80,50,50,85,85,50,99,65,80,85
"3628",85,85,85,60,85,70,15,50,50,40,60,70,70,85,60,40,40,85,50,60,70,40,30,60,60,100,70,40,85,40,70,60
"3629",70,70,60,15,75,15,85,50,50,70,50,50,50,70,15,15,15,85,85,100,70,70,40,70,15,100,50,30,100,15,50,30
"3630",85,85,85,85,85,70,0,0,15,30,15,50,70,70,70,50,70,70,50,50,70,50,50,85,70,85,85,50,85,50,85,85
"3631",85,85,100,70,100,0,100,50,50,15,100,50,100,50,40,15,85,85,85,85,60,60,40,60,60,100,85,70,100,50,85,70
"3634",100,100,85,100,85,60,30,60,50,70,30,70,50,15,30,70,50,100,60,30,40,0,60,40,60,100,85,50,85,0,85,60
"3635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3636",50,50,50,50,70,15,100,50,15,50,0,60,70,50,50,30,15,50,70,85,40,50,50,70,15,50,50,70,70,15,70,50
"3638",50,50,50,50,70,0,20,50,50,0,65,50,85,45,50,20,35,50,30,55,15,50,15,50,45,50,50,60,65,50,70,35
"3641",0,0,50,0,50,50,50,50,50,50,60,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,85,50
"3643",30,30,30,0,30,85,0,50,50,50,50,50,50,40,60,85,70,60,30,60,30,50,30,50,40,85,85,40,40,50,100,85
"3644",50,100,50,0,100,85,40,40,50,50,60,50,50,60,40,50,60,100,50,50,40,50,40,15,60,100,40,60,30,30,70,30
"3647",70,70,70,15,70,60,2,50,30,31,40,60,100,50,100,70,61,85,31,70,60,70,40,50,61,70,70,30,85,70,70,70
"3648",50,40,15,15,70,16,16,51,51,40,41,51,71,33,60,51,85,31,61,51,62,93,61,51,30,61,72,31,87,84,87,18
"3649",80,80,80,0,80,0,71,59,15,9,95,88,90,85,15,32,50,52,80,97,70,51,40,70,51,99,71,85,98,49,86,0
"3650",70,85,100,70,70,85,0,50,50,70,0,15,100,50,85,100,100,100,15,0,40,70,15,30,70,70,60,0,50,50,100,100
"3652",30,70,60,70,70,70,15,50,50,20,25,60,50,50,70,100,100,100,85,70,65,70,75,60,50,80,70,50,85,70,85,100
"3653",59,67,55,51,82,71,40,77,52,71,62,72,50,31,84,77,50,61,61,65,61,85,52,81,51,94,99,41,61,87,92,61
"3655",60,60,60,50,60,85,0,50,50,85,0,40,50,0,70,85,40,50,30,15,50,60,50,50,70,60,50,15,40,60,100,40
"3656",50,85,50,50,100,60,0,60,60,60,60,60,15,50,50,50,15,15,50,60,60,50,50,30,15,70,50,15,70,50,60,60
"3657",100,100,100,50,100,61,0,50,50,50,50,50,100,50,50,50,50,100,50,50,50,100,50,100,100,100,100,50,100,100,100,50
"3658",60,20,30,20,60,20,30,90,30,20,30,50,50,50,40,60,100,40,20,30,30,60,20,20,20,50,50,50,70,60,85,15
"3659",50,50,50,30,50,40,60,30,50,50,70,50,85,50,50,50,50,85,40,70,51,50,40,50,50,85,50,50,95,50,50,50
"3664",100,100,70,100,85,50,0,40,40,50,30,50,60,40,85,85,50,85,40,30,70,60,40,50,60,60,50,40,70,60,85,60
"3665",85,85,85,0,85,0,85,0,30,0,100,70,50,15,50,15,15,100,100,100,70,70,70,100,50,100,70,70,100,50,70,0
"3666",98,86,81,64,84,0,75,87,57,79,78,71,46,50,0,50,80,50,51,51,52,50,47,65,48,50,48,50,49,7,86,50
"3668",66,47,93,41,42,60,30,50,50,50,50,50,0,50,50,50,100,60,50,60,50,0,50,30,50,100,50,50,40,0,100,0
"3669",100,100,85,100,85,50,40,50,50,60,40,50,50,50,15,100,100,100,15,50,85,100,60,50,100,100,100,50,100,100,100,50
"3670",58,61,60,1,61,1,98,0,0,0,100,85,31,51,50,0,0,86,69,100,62,72,40,85,71,72,71,85,72,51,60,0
"3671",83,83,84,39,84,84,2,49,49,71,16,50,85,15,86,72,50,53,16,46,60,86,39,48,50,51,53,2,85,58,86,80
"3672",60,75,10,60,10,50,0,75,100,0,20,0,85,0,20,75,100,50,20,10,40,100,60,20,60,10,50,0,90,0,85,50
"3674",85,85,60,60,100,0,85,50,50,15,85,70,85,60,60,50,60,50,60,85,70,15,60,70,0,85,50,70,85,15,70,0
"3676",50,51,50,40,50,60,15,50,84,1,50,51,100,1,50,70,60,50,70,50,50,50,50,50,50,50,50,50,60,100,70,100
"3681",70,70,85,30,85,0,100,50,50,70,50,70,15,60,85,50,50,85,60,50,50,50,50,50,50,100,85,50,85,40,50,15
"3682",99,99,99,38,99,0,70,85,30,4,70,60,56,40,86,41,41,85,71,84,84,85,70,61,15,84,85,41,85,85,85,15
"3683",100,100,100,100,100,0,40,70,85,60,85,85,100,100,100,70,85,100,100,70,85,100,100,100,100,100,100,100,100,100,100,100
"3686",82,87,79,29,96,40,57,50,60,48,56,58,98,85,54,38,69,56,63,80,47,45,30,54,40,100,72,69,81,38,70,34
"3689",70,70,70,0,70,0,60,15,0,0,70,60,15,85,50,0,40,85,100,85,60,0,0,70,50,100,85,85,100,0,50,0
"3690",85,82,85,69,83,83,28,50,48,51,49,77,59,50,50,52,51,57,51,50,49,94,38,43,50,51,49,52,85,52,95,50
"3691",95,98,96,12,84,4,42,51,16,30,99,86,72,99,14,15,50,92,33,95,84,83,31,50,85,99,85,72,97,85,74,25
"3692",50,50,50,50,50,70,0,50,50,50,50,50,30,50,85,50,60,60,50,50,50,85,50,40,50,50,50,50,40,60,50,100
"3693",95,90,92,72,70,64,0,56,70,50,2,31,95,32,96,71,80,100,85,61,85,100,4,77,94,91,100,5,63,100,95,100
"3694",85,85,100,39,100,100,0,0,0,100,0,50,100,15,85,100,100,85,50,0,70,85,50,50,70,85,85,0,85,85,100,85
"3697",100,86,82,85,77,85,0,60,40,50,0,50,70,15,70,85,85,40,40,15,85,100,15,30,85,85,85,15,40,85,100,85
"3699",50,60,40,40,50,0,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,70,50,50,50,85,50,50,60,70,70,60
"3700",41,31,51,16,51,31,71,51,51,51,71,52,51,61,50,51,17,50,31,50,78,50,56,50,50,91,51,51,56,50,79,50
